trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN002077F040046780,18:54:00,18:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002077F040046780,20:41:00,20:41:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002471F08008~TGF54561,21:55:00,21:55:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002471F08008~TGF54561,23:41:00,23:41:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002075F070076775,15:54:00,15:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002075F070076775,17:41:00,17:41:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002075F020026776,15:54:00,15:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002075F020026776,17:41:00,17:41:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002409F06006~TGP54552,09:28:00,09:28:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002409F06006~TGP54552,11:14:00,11:14:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002443F08008~TGF54555,16:54:00,16:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002443F08008~TGF54555,18:41:00,18:41:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002069F12012~TGF54531,17:54:00,17:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002069F12012~TGF54531,19:41:00,19:41:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002363F230236982,07:20:00,07:20:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002363F230236982,09:05:00,09:05:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002363F150156977,07:20:00,07:20:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002363F150156977,09:05:00,09:05:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
