trip_id;trip_date;time;stop_by_name;stop;stop_position_lon;stop_position_lat
OCESN006871F0500511644;2020-04-23 08:25:00;08:25:00;Carcassonne;87615286;2.35188313;43.2177147
OCESN006871F0500511644;2020-04-23 08:55:00;08:55:00;Narbonne;87781104;3.00595633;43.19103322
OCESN006871F0500511644;2020-04-23 09:11:00;09:11:00;B̩ziers;87781005;3.21921804;43.33622529
OCESN006871F0500511644;2020-04-23 09:36:00;09:36:00;S̬te;87773200;3.69639619;43.41281189
OCESN006871F0500511644;2020-04-23 10:00:00;10:00:00;Montpellier-Sud-France;87688887;3.92683548;43.59474378
OCESN006871F0500511644;2020-04-23 10:26:00;10:26:00;N̨mes Pont-du-Gard;87703975;4.5076804;43.81680671
OCESN006871F0500511644;2020-04-23 11:07:00;11:07:00;Valence-TGV;87763029;4.97894146;44.99137044
OCESN006871F0500511644;2020-04-23 11:53:00;11:53:00;Lyon-Part-Dieu;87723197;4.85943505;45.7605853
OCESN006925F0800811758;2020-04-23 18:40:00;18:40:00;Paris-Gare-de-Lyon;87686006;2.37346237;48.84492163
OCESN006925F0800811758;2020-04-23 20:34:00;20:34:00;Lyon-Saint-Exupery-Tgv;87762906;5.07583344;45.72092788
OCESN006925F0800811758;2020-04-23 21:42:00;21:42:00;Grenoble;87747006;5.71452957;45.1914627
OCESN006923F2502511743;2020-04-23 17:41:00;17:41:00;Paris-Gare-de-Lyon;87686006;2.37346237;48.84492163
OCESN006923F2502511743;2020-04-23 19:34:00;19:34:00;Lyon-Saint-Exupery-Tgv;87762906;5.07583344;45.72092788
OCESN006923F2502511743;2020-04-23 20:42:00;20:42:00;Grenoble;87747006;5.71452957;45.1914627
OCESN006905F1201211677;2020-04-23 07:39:00;07:39:00;Paris-Gare-de-Lyon;87686006;2.37346237;48.84492163
OCESN006905F1201211677;2020-04-23 09:34:00;09:34:00;Lyon-Saint-Exupery-Tgv;87762906;5.07583344;45.72092788
OCESN006905F1201211677;2020-04-23 10:42:00;10:42:00;Grenoble;87747006;5.71452957;45.1914627
OCESN006927F1201211766;2020-04-23 19:43:00;19:43:00;Paris-Gare-de-Lyon;87686006;2.37346237;48.84492163
OCESN006927F1201211766;2020-04-23 21:36:00;21:36:00;Lyon-Saint-Exupery-Tgv;87762906;5.07583344;45.72092788
OCESN006927F1201211766;2020-04-23 22:42:00;22:42:00;Grenoble;87747006;5.71452957;45.1914627
OCESN006917F4404411707;2020-04-23 11:41:00;11:41:00;Paris-Gare-de-Lyon;87686006;2.37346237;48.84492163
OCESN006917F4404411707;2020-04-23 13:34:00;13:34:00;Lyon-Saint-Exupery-Tgv;87762906;5.07583344;45.72092788
OCESN006917F4404411707;2020-04-23 14:42:00;14:42:00;Grenoble;87747006;5.71452957;45.1914627
OCESN006921F0500511733;2020-04-23 16:43:00;16:43:00;Paris-Gare-de-Lyon;87686006;2.37346237;48.84492163
OCESN006921F0500511733;2020-04-23 18:36:00;18:36:00;Lyon-Saint-Exupery-Tgv;87762906;5.07583344;45.72092788
OCESN006921F0500511733;2020-04-23 19:45:00;19:45:00;Grenoble;87747006;5.71452957;45.1914627
OCESN006911F0600611697;2020-04-23 09:43:00;09:43:00;Paris-Gare-de-Lyon;87686006;2.37346237;48.84492163
OCESN006911F0600611697;2020-04-23 11:35:00;11:35:00;Lyon-Saint-Exupery-Tgv;87762906;5.07583344;45.72092788
OCESN006911F0600611697;2020-04-23 12:42:00;12:42:00;Grenoble;87747006;5.71452957;45.1914627
OCESN006919F0500511723;2020-04-23 14:42:00;14:42:00;Paris-Gare-de-Lyon;87686006;2.37346237;48.84492163
OCESN006919F0500511723;2020-04-23 16:35:00;16:35:00;Lyon-Saint-Exupery-Tgv;87762906;5.07583344;45.72092788
OCESN006919F0500511723;2020-04-23 17:45:00;17:45:00;Grenoble;87747006;5.71452957;45.1914627
OCESN006920F0900911730;2020-04-23 15:19:00;15:19:00;Grenoble;87747006;5.71452957;45.1914627
OCESN006920F0900911730;2020-04-23 16:18:00;16:18:00;Lyon-Saint-Exupery-Tgv;87762906;5.07583344;45.72092788
OCESN006920F0900911730;2020-04-23 18:17:00;18:17:00;Paris-Gare-de-Lyon;87686006;2.37346237;48.84492163
OCESN006922F1001011738;2020-04-23 17:19:00;17:19:00;Grenoble;87747006;5.71452957;45.1914627
OCESN006922F1001011738;2020-04-23 18:21:00;18:21:00;Lyon-Saint-Exupery-Tgv;87762906;5.07583344;45.72092788
OCESN006922F1001011738;2020-04-23 20:20:00;20:20:00;Paris-Gare-de-Lyon;87686006;2.37346237;48.84492163
OCESN006900F0200211663;2020-04-23 05:19:00;05:19:00;Grenoble;87747006;5.71452957;45.1914627
OCESN006900F0200211663;2020-04-23 06:20:00;06:20:00;Lyon-Saint-Exupery-Tgv;87762906;5.07583344;45.72092788
OCESN006900F0200211663;2020-04-23 08:20:00;08:20:00;Paris-Gare-de-Lyon;87686006;2.37346237;48.84492163
OCESN006924F1701711755;2020-04-23 19:19:00;19:19:00;Grenoble;87747006;5.71452957;45.1914627
OCESN006924F1701711755;2020-04-23 20:21:00;20:21:00;Lyon-Saint-Exupery-Tgv;87762906;5.07583344;45.72092788
OCESN006924F1701711755;2020-04-23 22:22:00;22:22:00;Paris-Gare-de-Lyon;87686006;2.37346237;48.84492163
OCESN006906F1201211681;2020-04-23 08:17:00;08:17:00;Grenoble;87747006;5.71452957;45.1914627
OCESN006906F1201211681;2020-04-23 09:21:00;09:21:00;Lyon-Saint-Exupery-Tgv;87762906;5.07583344;45.72092788
OCESN006906F1201211681;2020-04-23 11:23:00;11:23:00;Paris-Gare-de-Lyon;87686006;2.37346237;48.84492163
