beer_1,nHHprice_1,HHprice_1,volume_1,beer_2,nHHprice_2,HHprice_2,volume_2,beer_3,nHHprice_3,HHprice_3,volume_3,beer_4,nHHprice_4,HHprice_4,volume_4,beer_5,nHHprice_5,HHprice_5,volume_5,beer_6,nHHprice_6,HHprice_6,volume_6,beer_7,nHHprice_7,HHprice_7,volume_7,beer_8,nHHprice_8,HHprice_8,volume_8
Cheapest beer,6 ,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cheapest beer,6 ,3.95 ,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cheapest beer,NaN,5 ,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cheapest beer,9.4 ,6 ,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cheapest beer,6.3 ,4 ,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cheapest beer,5.6 ,5 ,50,Budweiser,5.7 ,5 ,50,Hoegaarden Wit-Blanche,7.1 ,6.5 ,50,Delirium Tremens,8 ,NaN,50,Leffe Blonde,7.5 ,NaN,50,Desperados,5 ,NaN,33,Corona,5 ,NaN,33,TBD,TBD,TBD,TBD
Cheapest beer,6.5 ,NaN,50,Guinness,7.5 ,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cheapest beer,4.6 ,2.4 ,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Stella Artois,7.5 ,3.75 ,50,Hoegaarden Wit-Blanche,9 ,9 ,50,Hoegaarden Rosée,9.5 ,9.5 ,50,Leffe Blonde,9 ,9 ,50,Leffe Ruby,9.9 ,9.9 ,50,Leffe Royale Cascade IPA,10.4 ,10.4 ,50,Leffe Rituel,10.4 ,10.4 ,50,TBD,TBD,TBD,TBD
Stella Artois,6.8 ,NaN,50,Hoegaarden Wit-Blanche,7.6 ,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Stella Artois,5.4 ,4 ,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cheapest beer,7 ,3.5 ,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cheapest beer,8.8 ,7 ,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cheapest beer,6.5 ,3.5 ,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cheapest beer,6.5 ,3.3 ,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cheapest beer,5.4 ,3.6 ,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cheapest beer,5.9 ,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Stella Artois,6.4 ,3.2 ,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Stella Artois,8.5 ,6.5 ,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cheapest beer,5.8 ,5.8 ,50,Stella Artois,6.9 ,5.8 ,50,Hoegaarden Wit-Blanche,8.8 ,7 ,50,Leffe Ruby,9.7 ,7 ,50,Triple Karmeliet,9.8 ,9.8 ,50,Leffe Brune,9.7 ,7 ,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Stella Artois,6.8 ,NaN,50,Hoegaarden Wit-Blanche,7.6 ,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Stella Artois,6.8 ,3.4 ,50,Kwak,6.4 ,6.4 ,33,Hoegaarden Wit-Blanche,7.5 ,3.75 ,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cheapest beer,6.5 ,3.25 ,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
