name;address;HH_start;HH_end;confidence_index;beers
Au Chat Noir;76 Rue Jean-Pierre Timbaud, 75011 Paris, France;0;0;3;{'Cheapest beer': {'HHprice': '3 €', 'volume': '50'}}
Au Chat Noir;13 Allée Duguay Trouin, 44000 Nantes, France;0;0;0;{'Cheapest beer': {'nHHprice': '5 €', 'volume': '50'}}
Au Chef Raid;7 Rue Montoir Poissonnerie, 14000 Caen, France;0;0;0;{'Cheapest beer': {'nHHprice': '4.5 €', 'volume': '50'}}
Au Chien Stupide;4 Rue des Carmélites, 44000 Nantes, France;0;0;1;{'Cheapest beer': {'nHHprice': '4 €', 'volume': '50'}}
Au Clair De Lune (18);1 Rue Ramey, 75018 Paris, France;17;21;3;{'Cheapest beer': {'HHprice': '4 €', 'nHHprice': '6 €', 'volume': '50'}}
Au Coeur Du Marais;56 Rue des Archives, 75004 Paris, France;0;0;0;{'Warsteiner': {'HHprice': '5.5 €', 'volume': '50'}}
Au Coin De La Rue;34 Rue de Bourgogne, 75007 Paris, France;17;20;11;{'Cheapest beer': {'HHprice': '4.5 €', 'nHHprice': '7 €', 'volume': '50'}}
Au Coin de la Rue;20 Rue Rivay;1630;1830;0;{'Cheapest beer': {'HHprice': '5 €', 'nHHprice': '5 €', 'volume': '50'}, 'Stella Artois': {'HHprice': '5.5 €', 'nHHprice': '6.5 €', 'volume': '50'}, 'Leffe Blonde': {'nHHprice': '7 €', 'volume': '50'}}
Au Coup Franc;119 Avenue René Coty, 76600 Le Havre, France;0;0;0;{'Cheapest beer': {'nHHprice': '5 €', 'volume': '50'}}
Au Depot;53 Boulevard de Belleville, 75011 Paris, France;14;22;3;{'Cheapest beer': {'HHprice': '2.5 €', 'nHHprice': '5 €', 'volume': '50'}, 'Hoegaarden Wit-Blanche': {'HHprice': '6 €', 'nHHprice': '7 €', 'volume': '50'}, 'La Chouffe': {'HHprice': '7 €', 'nHHprice': '8 €', 'volume': '50'}, 'Leffe Blonde': {'HHprice': '7 €', 'nHHprice': '8 €', 'volume': '50'}}
Au Dernier Métro;70 Boulevard de Grenelle, 75015 Paris, France;15;17;4;{'Cheapest beer': {'HHprice': '4.2 €', 'nHHprice': '6.8 €', 'volume': '50'}, 'Delirium Tremens': {'nHHprice': '3.8 €', 'volume': '25'}}
Au Diable Des Lombards;64 Rue des Lombards, 75001 Paris, France;15;21;3;{'Coq Hardi': {'HHprice': '5 €', 'nHHprice': '7 €', 'volume': '50'}, 'Charles Quint': {'HHprice': '6.9 €', 'nHHprice': '8.9 €', 'volume': '50'}, 'Tongerlo': {'HHprice': '6.9 €', 'nHHprice': '8.9 €', 'volume': '50'}, 'Spéciale 1900': {'HHprice': '6.9 €', 'nHHprice': '8.9 €', 'volume': '50'}, 'Cuvée des Trolls': {'HHprice': '7.1 €', 'nHHprice': '9.1 €', 'volume': '50'}, 'Kasteel Rouge': {'HHprice': '7.2 €', 'nHHprice': '9.2 €', 'volume': '50'}, 'Charles Wells triple IPA': {'HHprice': '6.9 €', 'nHHprice': '8.9 €', 'volume': '50'}, 'others': 'TBD'}
Au Doyen;176 Quai du Port, 13002 Marseille, France;0;0;0;{'Cheapest beer': {'nHHprice': '7.5 €', 'volume': '50'}, 'Heineken': {'nHHprice': '5 €', 'volume': '33'}, 'Pietra': {'nHHprice': '6 €', 'volume': '33'}, '1664 Blanche': {'nHHprice': '5.5 €', 'volume': '33'}, 'Cubanisto': {'nHHprice': '6.5 €', 'volume': '33'}, 'Desperados': {'nHHprice': '6.5 €', 'volume': '33'}, 'Corona': {'nHHprice': '6.5 €', 'volume': '33'}, 'Grimbergen Blonde': {'nHHprice': '6.5 €', 'volume': '33'}}
Au Faubourg;92 Rue du Faubourg Saint-Denis, 75010 Paris, France;0;0;7;{'Stella Artois': {'nHHprice': '3.9 €', 'volume': '50'}, 'Kwak': {'nHHprice': '6.5 €', 'volume': '50'}, 'La Chouffe': {'nHHprice': '7.5 €', 'volume': '50'}, 'Vedett Extra IPA': {'nHHprice': '7 €', 'volume': '50'}}
Au Fil Du Vin;145 Quai de Valmy, 75010 Paris, France;16;1;2;{'Cheapest beer': {'HHprice': '5 €', 'nHHprice': '6 €', 'volume': '50'}}
Au Fond Du Bar;15 Rue Simart, 75018 Paris, France;0;0;0;{'Cheapest beer': {'HHprice': '4 €', 'volume': '50'}}
Au Fut Et A Mesure;61 Rue St Jean du Pérot, 17000 La Rochelle, France;0;0;0;{'La Chouffe': {'nHHprice': '2.5 €', 'volume': '25'}, 'Kasteel Rouge': {'nHHprice': '3.9 €', 'volume': '25'}}
Au Fut Et À Mesiure;6 Rue de la République, 74000 Annecy, France;0;0;0;{'Cheapest beer': {'nHHprice': '5.4 €', 'volume': '50'}}
Au Fut et à Mesure;18 Boulevard des Brotteaux, 69006 Lyon, France;0;0;0;{'Cheapest beer': {'nHHprice': '5 €', 'volume': '50'}}
